nome,tipo,indirizzo_stradale,comune,provincia,cap,lat,lon
"Ristorante Santa Lucia","restaurant","Vicolo dei Colli","Valeggio sul Mincio","Verona","37067","45.3837654","10.7687662"
"Agriturismo La Palazzina","restaurant","Via Palazzina","Isola della Scala","Verona","37063","45.2597153","10.9957474"
"","restaurant","Via Ca' Magre","Isola della Scala","Verona","37063","45.2590858","11.0036708"
"L'Artigliere","restaurant","Via Boschi","Isola della Scala","Verona","37063","45.2902199","11.0185155"
"La Capannina","restaurant","3","Malcesine","Verona","37018","45.7721823","10.8650536"
"Baita Genzianella","restaurant","","Ferrara di Monte Baldo","Verona","37020","45.7057124","10.859038"
"Rifugio Novezzina","restaurant","Strada Provinciale Monte Baldo","Ferrara di Monte Baldo","Verona","37020","45.6991551","10.8585515"
"","restaurant","Via Madonna","Bovolone","Verona","37051","45.2704806","11.1012035"
"","restaurant","Via del Ciclamino","Bovolone","Verona","37051","45.2708046","11.1011766"
"","restaurant","Via Monte Altissimo","Cerea","Verona","37053","45.1881133","11.2222424"
"","restaurant","Via Vittorio Veneto","Cerea","Verona","37053","45.1878801","11.2221444"
"Bar Trattoria Da Carlo","restaurant","Via San Zeno","Cerea","Verona","37053","45.2067232","11.2009302"
"","restaurant","Via Dossi","Venera","Verona","37058","45.1797919","11.1706058"
"Ristorante da Sandro","restaurant","Percorso La Verbena","Legnago","Verona","37045","45.1964339","11.3078666"
"La Compagnia","restaurant","Via Cesare Battisti","Fosse","Verona","37020","45.6455761","10.936448"
"","restaurant","Via Diga","Zevio","Verona","37059","45.3821463","11.1344927"
"Al Terrazzo","restaurant","Via Monti Lessini","Erbezzo","Verona","37020","45.6365381","11.0006549"
"Agriturismo La Marmacola","restaurant","Contrada Santa Margherita","Bosco Chiesanuova","Verona","37021","45.6197568","11.0403493"
"La Baita","restaurant","Largo Jenna","Bosco Chiesanuova","Verona","37021","45.6206519","11.0272277"
"Trattoria Ponte di Veja","restaurant","","Sant'Anna d'Alfaedo","Verona","37020","45.6075727","10.9700689"
"L'Araldo","restaurant","Contrada Pianura","Bosco Chiesanuova","Verona","37021","45.5805956","11.0420604"
"Autogrill","restaurant","Autostrada Serenissima","Castelletto","Verona","37038","45.4110634","11.2334817"
"Gallo's & co","restaurant","Via del Commercio","Castelletto","Verona","37038","45.4086365","11.2282851"
"Vecchio Mulino Beach","restaurant","Strada Bergamini","Peschiera del Garda","Verona","37019","45.4478895","10.6740219"
"Al Casot","restaurant","Strada Provinciale della Val d'Adige","Brentino Belluno","Verona","37020","45.6982541","10.922018"
"Autogrill Adige Brennero Ovest","restaurant","Autostrada del Brennero","Sabbionara","Verona","38063","45.6931362","10.9120047"
"Agriturismo Costasenel","restaurant","Via del Baldo","Belluno Veronese","Verona","37020","45.6880994","10.8922049"
"Al Palazzio","restaurant","Autostrada del Brennero","Rivalta","Verona","37020","45.6552907","10.8888133"
"Pizzeria Dai Fradei","restaurant","Via Sant'Urbano","Molina","Verona","37022","45.611631","10.9123652"
"Paroletto","restaurant","Strada Provinciale 33 del Pastello","Breonio","Verona","37022","45.6120938","10.8889801"
"Malga Ime","restaurant","Strada per Ime","Ferrara di Monte Baldo","Verona","37020","45.6596222","10.8297938"
"Ai Tracchi","restaurant","Strada Provinciale 6","Bosco Chiesanuova","Verona","37021","45.6672051","11.0544004"
"Malga Moscarda","restaurant","SP14","Bosco Chiesanuova","Verona","37021","45.6707203","11.0494382"
"Rifugio G. Chierego","restaurant","Variante 656","Ferrara di Monte Baldo","Verona","37020","45.6829132","10.818791"
"Cima 11","restaurant","Via Cristo","Pazzon","Verona","37013","45.6154958","10.831907"
"Casa di Peper","restaurant","SP10","Sant'Andrea","Verona","37030","45.5949348","11.1500409"
"Ristorante Conca dei Parpari","restaurant","SP6","Roverè Veronese","Verona","37028","45.6454509","11.0920106"
"Trattoria il ReMilla","restaurant","SP17","Selva di Progno","Verona","37030","45.6081753","11.1798779"
"Albergo Cacciatore","restaurant","Via Prada","Prada","Verona","37010","45.6611679","10.7685799"
"Agriturismo Malga Baito dei Santi","restaurant","Via del Sengel","Prada","Verona","37010","45.6522888","10.7648708"
"Malga Traure","restaurant","Strada per Naole","Prada","Verona","37010","45.6541244","10.780259"
"Casa di Caccia","restaurant","Sentiero della lana","Illasi","Verona","37039","45.4950901","11.1926416"
"La Cupola","restaurant","Via Mezzavilla","Cellore","Verona","37031","45.4836281","11.180215"
"Agriturismo Monte Sassetti","restaurant","Via Pontesello","Colognola ai Colli","Verona","37030","45.4255796","11.1960699"
"Baita Cerato","restaurant","Via San Giovanni Battista","Bolca","Verona","37030","45.5947728","11.2098429"
"Lido Sopri","restaurant","Via Lungolago","Malcesine","Verona","37018","45.7543986","10.7996132"
"Erbecedario Ristorante","restaurant","Vecchia Via della Lana","Badia Calavena","Verona","37030","45.5917784","11.174219"
"","restaurant","Via Provinciale","Vago","Verona","37030","45.4196557","11.1352406"
"Casa degli Spiriti","restaurant","Via Monte Baldo","Albisano","Verona","37010","45.6190919","10.7162547"
"Locanda San Verolo","restaurant","Via San Verolo","Castion Veronese","Verona","37010","45.6030784","10.7375924"
"Agritouristica Le Rasole","restaurant","Via San Bernardo","Garda","Verona","37016","45.5757458","10.7297985"
"Osteria Metti","restaurant","Località Incaffi","Affi","Verona","37010","45.5504845","10.7635351"
"Le Palafitte","restaurant","Via Santa Cristina","Cisano","Verona","37011","45.5383815","10.7264754"
"Hosteria del Durello","restaurant","Via Cabalao","Montecchia di Crosara","Verona","37030","45.4824427","11.250795"
"Pizzeria Sole - Birrificio 9.1","restaurant","Via degli Alpini","Montecchia di Crosara","Verona","37030","45.4814408","11.2556773"
"Il Mottino","restaurant","Largo Europa","Garda","Verona","37016","45.5717948","10.7096453"
"Bar Trattoria alla Prada","restaurant","Via della Pradà","Cisano","Verona","37011","45.5209359","10.7377335"
"Esperia","restaurant","Via Dante","Lazise","Verona","37017","45.5096808","10.7314454"
"Ristorante Pizzeria Due Laghi","restaurant","Località Vegri","Lazise","Verona","37017","45.4943449","10.7666692"
"Restaurant Terrasse","restaurant","Straße 34","Pacengo","Verona","37017","45.4710642","10.7160603"
"Ristorante Corte Dal Castello","restaurant","Via Croce","Colà","Verona","37017","45.4712975","10.7423826"
"Aquila Ristorante Pizzeria","restaurant","Via Gardesana","Lazise","Verona","37017","45.4971429","10.7386921"
"Sorriso","restaurant","Via Gardesana","Cavalcaselle","Verona","37014","45.4488134","10.7122015"
"Antica Osteria Busocaldo","restaurant","Via Strada Massoni","Peschiera del Garda","Verona","37019","45.4352771","10.6473976"
"Bar-Trattoria Loda","restaurant","Via 1866","Peschiera del Garda","Verona","25019","45.4445049","10.6446404"
"Sapori in cantina","restaurant","Via Strada Berra","Peschiera del Garda","Verona","37019","45.4275763","10.6569347"
"Al Pellegrino","restaurant","Via Frassino","Peschiera del Garda","Verona","37019","45.4317726","10.6754433"
"Pizzeria da Mariano","restaurant","località Badoara","Peschiera del Garda","Verona","37019","45.4318711","10.6803663"
"Corte Riga","restaurant","Via Salisburgo","Peschiera del Garda","Verona","37019","45.4453853","10.6743633"
"Agriturismo La Quercia","restaurant","Via Forneletti","Valeggio sul Mincio","Verona","37067","45.3827855","10.7101289"
"Trattoria da Marisa e Elvio","restaurant","Via Campagna Rossa","Valeggio sul Mincio","Verona","37067","45.404167","10.7293374"
"Agriturismo corte zenati","restaurant","Via Zenati","Castelnuovo del Garda","Verona","37014","45.4134014","10.7378361"
"TRATTORIA PIZZERIA da GULI","restaurant","Via Zuccotti","Cavalcaselle","Verona","37014","45.4211126","10.7259664"
"Relais","restaurant","Via Libertà","Castelcerino","Verona","37038","45.4636618","11.2386837"
"Agriturismo Gasparin","restaurant","Via Roncolati","Santa Margherita","Verona","37030","45.4967856","11.2921863"
"Antares","restaurant","Viale Postumia","Villafranca di Verona","Verona","37062","45.3699236","10.871463"
"Ristorante Lido Paina","restaurant","Via Paina","Malcesine","Verona","37018","45.7691288","10.8108292"
"Pizzeria Ristorante Birreria Suan","restaurant","Via Rocolo","San Giovanni Ilarione","Verona","37035","45.5255027","11.2725135"
"Colombare","restaurant","Via Castello San Felice","Verona","Verona","37125","45.4541858","11.0067378"
"Taverna Ristoro Di Frattini Rosella Susie","restaurant","Via Mosche","Legnago","Verona","37045","45.1941063","11.3369921"
"Pizzeria Stella","restaurant","Via Dante Alighieri","Correzzo","Verona","37060","45.1485261","11.1157402"
"Agriturismo la Preara","restaurant","Via Sambuco","Brognoligo","Verona","37032","45.4539976","11.2670274"
"Osteria Dogana dal 1969","restaurant","Piazza Vittorio Emanuele","Albaredo d'Adige","Verona","37041","45.3179952","11.2677263"
"Ristorante San Marco","restaurant","Via Raffaello Sanzio","Valeggio sul Mincio","Verona","37067","45.3538071","10.7254287"
"Trattoria El Fogolar","restaurant","Via Giuseppe Mazzini","Villafranca di Verona","Verona","37069","45.3298937","10.788926"
"Chiosco la Bosca","restaurant","Strada della Ponta","Pacengo","Verona","37017","45.4778825","10.7184641"
"Trattoria Pizzeria Quinto Miglio","restaurant","Via Valpantena","Verona","Verona","37142","45.4940857","11.0189187"
